date,AAP,FB,GOOG,MSFT,^DJI
8/10/2013,79.37601508,48.84000015,427.7990112,28.19075015,14855.75488
9/10/2013,78.47807574,46.54999924,424.8151855,28.26748589,14785.96484
10/10/2013,78.80814369,48.75500107,430.6458282,28.62556676,14966.22998
11/10/2013,79.22556111,49.32999992,433.0717316,28.91118686,15168.71484
14/10/2013,80.38558501,48.77000046,433.7840729,29.10727737,15222.93018
15/10/2013,80.35158313,50.09000015,438.2647705,29.6103039,15231.62012
16/10/2013,94.37854522,50.5700016,443.9210663,29.61030955,15272.42529
17/10/2013,94.05821725,51.58500099,443.9933167,29.56767622,15302.56494
18/10/2013,95.25701769,54.21500015,495.5077209,29.5506325,15367.38965
21/10/2013,95.69873004,54.15999985,502.753067,29.88739093,15386.41992
22/10/2013,95.92682085,53.47999954,500.3221741,29.67851461,15456.15967
23/10/2013,96.16951883,51.69000053,506.9448395,29.05612349,15415.92529
24/10/2013,96.10644531,52.21500015,514.4143372,28.8472483,15471.37988
25/10/2013,98.89726666,52.56000137,507.9859467,30.59078171,15541.77979
28/10/2013,98.85355958,50.65500069,507.2038727,30.26680392,15566.28516
29/10/2013,97.79063454,50.02000046,510.6957703,30.25827537,15627.64502
30/10/2013,97.01889846,49.47999954,513.9510651,30.36058407,15647.75977
31/10/2013,97.15965622,49.25,514.4442444,30.2795846,15598.27539
1/11/2013,95.81519779,50.90500069,513.3508453,30.30090925,15596.3252
4/11/2013,96.87333294,48.88500023,511.6820984,30.49273347,15623.69043
5/11/2013,96.48983976,48.84499931,510.3545837,30.89771072,15587.03467
6/11/2013,96.17921591,49.57999992,508.6858215,32.09133555,15689.50488
7/11/2013,95.04834314,48.58499908,505.9958954,32.15953215,15692.00488
8/11/2013,94.45621567,47.95000076,504.857666,32.02312505,15671.81982
11/11/2013,95.27161352,46.62999916,504.0930481,32.0273901,15764.33496
12/11/2013,96.00932722,46.60000038,503.7518158,31.88671222,15750.83496
13/11/2013,96.63547403,47.40000153,507.9336243,31.99754723,15747.49023
